Product ID,Product,Category,Subcategory,Price Each,Cost Each
0,20in Monitor,"Computer, Tablets & Gaming",Monitors,109.99,57.19
1,27in 4K Gaming Monitor,"Computer, Tablets & Gaming",Gaming Monitors,389.99,202.79
2,27in FHD Monitor,"Computer, Tablets & Gaming",Monitors,149.99,79.49
3,34in Ultrawide Monitor,"Computer, Tablets & Gaming",Monitors,379.99,193.79
4,AA Batteries (4-pack),"Computer, Tablets & Gaming",Batteries,3.84,2.15
5,AAA Batteries (4-pack),"Computer, Tablets & Gaming",Batteries,2.99,1.52
6,Apple Airpods Headphones,Smart Tech & Phones,Accessories,150.0,78.0
7,Bose SoundSport Headphones,Smart Tech & Phones,Accessories,99.99,53.99
8,Flatscreen TV,TV & Home Theatre,TV,300.0,159.0
9,Google Phone,Smart Tech & Phones,Phones,600.0,354.0
10,LG Dryer,Appliances,Domestic Appliances,600.0,360.0
11,LG Washing Machine,Appliances,Domestic Appliances,600.0,348.0
12,Lightning Charging Cable,Smart Tech & Phones,Accessories,14.95,7.77
13,Macbook Pro Laptop,"Computer, Tablets & Gaming",Laptops & Desktops,1700.0,969.0
14,ThinkPad Laptop,"Computer, Tablets & Gaming",Laptops & Desktops,999.99,559.99
15,USB-C Charging Cable,Smart Tech & Phones,Accessories,11.95,6.81
16,Vareebadd Phone,Smart Tech & Phones,Headphones & Earphones,400.0,212.0
17,Wired Headphones,Smart Tech & Phones,Headphones & Earphones,11.99,6.59
18,iPhone,Smart Tech & Phones,Phones,700.0,371.0
